token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
27,"(-5, 1, 0)",42,0.008690254500310366,0.14603675407805072,0.07445108486195652,0.22232986052013184,0.5906118155492999,0.6711166244200624,0.9981264571875978
28,"(-5, 2, 0)",60,0.012414649286157667,0.16591554821391696,0.0850513649594168,0.25455996501258876,0.609235712401367,0.43823882204673625,0.9987827876232775
29,"(-5, 2, 3)",4,0.0008276432857438444,0.9692960974602518,0.8973205593518082,5.05577074286488,0.9985111842393752,0.9987522635510184,0.9987767089846522
30,"(-5, 3, 0)",2,0.0004138216428719222,0.9969372289902954,0.9836087462558252,8.899471648503933,0.9836087462558252,0.9989308072827252,0.9987001387507801
31,"(-5, 4, 0)",83,0.017173598179184773,0.1622434441461903,0.08313143708010132,0.24877119207283982,0.16236855867571964,0.3286128971556609,0.9986434285919552
32,"(-5, 24, 0)",1,0.0002069108214359611,0.9965246747883543,0.9817969196819001,8.636708019650952,0.9817969196819001,0.9817969196819001,0.9817969196819001
33,"(-4, 1, 0)",29,0.006000413821642872,0.16400887879413578,0.08401622054535411,0.25138999531192746,0.8841559746332486,0.751330934748266,0.9065490751234249
34,"(-4, 1, 1)",9,0.00186219739292365,0.9589822424117282,0.8721147148006769,4.626365796190262,0.8721147148006769,0.9984585580965892,0.9987087827671866
35,"(-4, 1, 5)",24,0.004965859714463066,0.16648048730125953,0.08535983335292929,0.2555069275394057,0.0,0.31089844654276405,0.9987964553775457
36,"(-4, 2, 0)",21,0.004345127250155183,0.14974416683873618,0.0763329350121286,0.22793580535921432,0.7392044434337441,0.6211307701355846,0.9982524125890416
37,"(-4, 3, 0)",2,0.0004138216428719222,0.998587445798059,0.9916788755475688,11.2190451967789,0.9916788755475688,0.9916788755475688,0.9985763466743367
38,"(-4, 35, 0)",1,0.0002069108214359611,0.9977623373941772,0.9874272634998881,9.635684401441326,0.9874272634998881,0.9874272634998881,0.9874272634998881
